cve_id,vendor,product,asset_type,function,cvss_score,cvss_vector,epss_percentile,in_cisa_kev,icsa_present,criticality_0_5,exposure_0_5,location,L,impact_I,E,Risk_base,version_match,Risk,priority,explain,published
CVE-2024-45438,,,Other ICS Device,Industrial device,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,,,0,3,3,Nashville,0.718,0.6,0.4,0.48249600000000004,unknown,0.43424640000000003,Medium,"KEV,AV:N+AC:L,HighImpactWithEnv,VersionUnknown",2025-08-21 17:15:29.553
CVE-2024-54678,,,Other ICS Device,Industrial device,8.2,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,,,0,3,3,Nashville,0.6385,0.6,0.4,0.429072,unknown,0.38616480000000003,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-08-12 12:15:34.360
CVE-2024-52504,,,Other ICS Device,Industrial device,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,,0,3,3,Nashville,0.63,0.6,0.4,0.42336,unknown,0.38102400000000003,Low,"KEV,AV:N+AC:L,HighImpactWithEnv,VersionUnknown",2025-08-12 12:15:33.820
CVE-2024-52885,,,Other ICS Device,Industrial device,5.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N,,,0,3,3,Nashville,0.49250000000000005,0.6,0.4,0.33096000000000003,unknown,0.297864,Low,"KEV,AV:N+AC:L,HighImpactWithEnv,VersionUnknown",2025-08-06 15:15:31.287
CVE-2025-7376,,,Other ICS Device,Industrial device,5.9,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:N/I:H/A:N,0.02691,,0,3,3,Nashville,0.4339185000000001,0.6,0.4,0.2915932320000001,unknown,0.2624339088000001,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-08-06 07:15:34.100
CVE-2025-7033,,,Other ICS Device,Industrial device,,,0.06115,,0,3,3,Nashville,0.3964025,0.6,0.4,0.26638248000000003,unknown,0.23974423200000003,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-08-05 14:15:30.753
CVE-2025-7032,,,Other ICS Device,Industrial device,,,0.06115,,0,3,3,Nashville,0.3964025,0.6,0.4,0.26638248000000003,unknown,0.23974423200000003,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-08-05 14:15:30.603
CVE-2025-7025,,,Other ICS Device,Industrial device,,,0.06115,,0,3,3,Nashville,0.3964025,0.6,0.4,0.26638248000000003,unknown,0.23974423200000003,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-08-05 14:15:30.427
CVE-2025-5988,,,Other ICS Device,Industrial device,5.3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,0.03566,,0,3,3,Nashville,0.40398100000000003,0.6,0.4,0.27147523200000007,unknown,0.24432770880000007,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-08-04 16:15:34.560
CVE-2025-7738,,,Other ICS Device,Industrial device,4.4,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,0.02502,,0,3,3,Nashville,0.3507570000000001,0.6,0.4,0.23570870400000007,unknown,0.21213783360000008,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-07-31 14:15:35.177
CVE-2025-52490,couchbase,sync_gateway,Other ICS Device,Industrial device,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,0.07185,,0,3,3,Nashville,0.5566475000000001,0.6,0.4,0.3740671200000001,unknown,0.3366604080000001,Low,"KEV,AV:N+AC:L,HighImpactWithEnv,VersionUnknown",2025-07-29 20:15:27.870
CVE-2025-53082,,,Other ICS Device,Industrial device,6.1,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,0.57699,,0,3,3,Nashville,0.6374465,0.6,0.4,0.42836404800000005,unknown,0.38552764320000005,Low,"KEV,HighImpactWithEnv,HighEPSS,VersionUnknown",2025-07-29 06:15:23.710
CVE-2025-53081,,,Other ICS Device,Industrial device,6.4,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:H,0.2888,,0,3,3,Nashville,0.55308,0.6,0.4,0.37166976,unknown,0.334502784,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-07-29 06:15:22.660
CVE-2025-53080,,,Other ICS Device,Industrial device,7.1,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:H/A:H,0.23232,,0,3,3,Nashville,0.571812,0.6,0.4,0.384257664,unknown,0.3458318976,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-07-29 05:15:32.150
CVE-2025-53079,,,Other ICS Device,Industrial device,4.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,0.17731,,0,3,3,Nashville,0.4615585000000001,0.6,0.4,0.3101673120000001,unknown,0.2791505808000001,Low,"KEV,AV:N+AC:L,HighImpactWithEnv,VersionUnknown",2025-07-29 05:15:31.980
CVE-2025-53078,,,Other ICS Device,Industrial device,8.0,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H,0.43542,,0,3,3,Nashville,0.692397,0.6,0.4,0.46529078400000007,unknown,0.4187617056000001,Low,"KEV,HighImpactWithEnv,VersionUnknown",2025-07-29 05:15:31.817
CVE-2025-53077,,,Other ICS Device,Industrial device,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,0.34212,,0,3,3,Nashville,0.6072420000000001,0.6,0.4,0.40806662400000004,unknown,0.3672599616000001,Low,"KEV,AV:N+AC:L,HighImpactWithEnv,VersionUnknown",2025-07-29 05:15:31.640
CVE-2025-7745,,,Other ICS Device,Industrial device,5.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,0.12229,,0,3,3,Nashville,0.4918015,0.6,0.4,0.330490608,unknown,0.29744154720000004,Low,"KEV,AV:N+AC:L,HighImpactWithEnv,VersionUnknown",2025-07-24 08:15:30.683
