cve,icsa_id,title,icsa_pub_date,icsa_cvss_v3,icsa_cwes,icsa_vendor_products,icsa_url,icsa_feed_date
CVE-2023-53155,ICSA-25-275-02,Hitachi Energy MSM Product,2025-10-02T12:00:00Z,7.5,CWE-617;CWE-79,Hitachi Energy reports that the following products are affected: | MSM: Versions 2.2.10 and prior | MSM: Versions 2.2.10 and prior,https://www.cisa.gov/news-events/ics-advisories/icsa-25-275-02,"Thu, 02 Oct 25 12:00:00 +0000"
CVE-2024-53429,ICSA-25-275-02,Hitachi Energy MSM Product,2025-10-02T12:00:00Z,7.5,CWE-617;CWE-79,Hitachi Energy reports that the following products are affected: | MSM: Versions 2.2.10 and prior | MSM: Versions 2.2.10 and prior,https://www.cisa.gov/news-events/ics-advisories/icsa-25-275-02,"Thu, 02 Oct 25 12:00:00 +0000"
CVE-2025-10653,ICSA-25-275-01,Raise3D Pro2 Series 3D Printers,2025-10-02T12:00:00Z,,CWE-288,The following firmware versions of the Rasie3D Pro2 Series printers are affected: | Pro2 Series: All Versions | Pro2 Series: All Versions,https://www.cisa.gov/news-events/ics-advisories/icsa-25-275-01,"Thu, 02 Oct 25 12:00:00 +0000"
CVE-2021-27478,ICSA-25-273-02,Festo SBRD-Q/SBOC-Q/SBOI-Q,2025-09-30T12:00:00Z,8.2,CWE-125;CWE-617;CWE-681,Festo reports that the following products are affected: | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBRD-Q: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBRD-Q: All versions,https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-02,"Tue, 30 Sep 25 12:00:00 +0000"
CVE-2021-27482,ICSA-25-273-02,Festo SBRD-Q/SBOC-Q/SBOI-Q,2025-09-30T12:00:00Z,8.2,CWE-125;CWE-617;CWE-681,Festo reports that the following products are affected: | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBRD-Q: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBRD-Q: All versions,https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-02,"Tue, 30 Sep 25 12:00:00 +0000"
CVE-2021-27498,ICSA-25-273-02,Festo SBRD-Q/SBOC-Q/SBOI-Q,2025-09-30T12:00:00Z,8.2,CWE-125;CWE-617;CWE-681,Festo reports that the following products are affected: | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBRD-Q: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBRD-Q: All versions,https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-02,"Tue, 30 Sep 25 12:00:00 +0000"
CVE-2021-27500,ICSA-25-273-02,Festo SBRD-Q/SBOC-Q/SBOI-Q,2025-09-30T12:00:00Z,8.2,CWE-125;CWE-617;CWE-681,Festo reports that the following products are affected: | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions Festo Firmware installed on Festo Hardware SBRD-Q: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2B-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R2C: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOC-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1B-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R1C-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3B-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB: All versions | Festo Firmware installed on Festo Hardware SBOI-Q-R3C-WB-S1: All versions | Festo Firmware installed on Festo Hardware SBRD-Q: All versions,https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-02,"Tue, 30 Sep 25 12:00:00 +0000"
CVE-2025-54811,ICSA-25-273-05,OpenPLC_V3,2025-09-30T12:00:00Z,,CWE-758,The following versions of OpenPLC_V3 are affected: | OpenPLC_V3: Versions prior to pull request #292 | OpenPLC_V3: Versions prior to pull request #292,https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-05,"Tue, 30 Sep 25 12:00:00 +0000"
CVE-2025-10538,ICSA-25-273-07,LG Innotek Camera Multiple Models,2025-09-30T12:00:00Z,,CWE-288,The following models of LG Innotek CCTV Cameras are affected: | LG LND7210: All Versions LG LNV7210R: All Versions | LG LND7210: All Versions | LG LNV7210R: All Versions,https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-07,"Tue, 30 Sep 25 12:00:00 +0000"
CVE-2025-10659,ICSA-25-273-01,MegaSys Enterprises Telenium Online Web Application,2025-09-30T12:00:00Z,,CWE-78,The following MegaSys Enerprises products are affected: | Telenium Online Web Application: Versions 8.4.21 and prior | Telenium Online Web Application: Versions 8.4.21 and prior,https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-01,"Tue, 30 Sep 25 12:00:00 +0000"
