vendor,product,asset_type,Risk
*,5400rmp_oem_harddrive,Other ICS Device,0.2647061424
4d,server,Other ICS Device,0.44051666400000006
abb,2tma310010b0001_firmware,Protection Relay,0.59730986448
abb,800xa,Protection Relay,0.5372598672000001
abb,800xa_base_system,Protection Relay,0.53450287632
abb,800xa_batch_management,Protection Relay,0.53486738928
abb,800xa_information_management,Protection Relay,0.5372598672000001
abb,800xa_information_manager,Protection Relay,0.69162160032
abb,800xa_rnrp,Protection Relay,0.53450287632
abb,800xa_system,Protection Relay,0.7486339896000002
abb,ac500_cpu_firmware,Protection Relay,0.5707396800000001
abb,ac700f_firmware,Protection Relay,0.5207328
abb,ao opc,Gateway,0.29338303680000005
abb,arg600a1220na_firmware,Protection Relay,0.6252926400000002
abb,aspect ent 12_firmware,Protection Relay,0.82656
abb,aspect ent 2_firmware,Protection Relay,0.8003977228800001
abb,automation_builder,Protection Relay,0.5369995008000001
abb,base_software,Protection Relay,0.6252926400000002
abb,control_builder_m,Protection Relay,0.45358389216000006
abb,cs141_firmware,Protection Relay,0.4752720000000001
abb,device_library_wizard,Protection Relay,0.39579164351999996
abb,e design,Protection Relay,0.45701783568000004
abb,flow x\/m_firmware,Protection Relay,0.42071904
abb,h5692448_g104_firmware,Protection Relay,0.37525824
abb,infinity_dc_power_plant,Protection Relay,0.5798318400000001
abb,irb140_firmware,Protection Relay,0.6252926400000002
abb,mint_workbench,Protection Relay,0.49300625808000004
abb,mms_server,Protection Relay,0.27848376863999996
abb,my_control_system,Protection Relay,0.6252926400000002
abb,mybuildings,Protection Relay,0.6071083200000001
abb,omnicore_c30_firmware,Protection Relay,0.6252926400000002
abb,opc_server_for_ac_800m,Gateway,0.4242672000000001
abb,platform_engineering_tools,Protection Relay,0.4050144
abb,pm554_firmware,Protection Relay,0.5207328
abb,pni800_firmware,Protection Relay,0.5207328
abb,rccmd,Protection Relay,0.6252926400000002
abb,rex640_pcl1_firmware,Protection Relay,0.5037279811200001
abb,rmc 100_firmware,Protection Relay,0.6252926400000002
abb,robotware,Protection Relay,0.6252926400000002
abb,rtu500_firmware,Protection Relay,0.6263142681600001
abb,smu615_firmware,Protection Relay,0.4050144
abb,symphony_\+_historian,Protection Relay,0.7632260798400001
abb,symphony_plus_s\+_operations,Protection Relay,0.55503504
abb,system_access_point_2.0_firmware,Protection Relay,0.4050144
abb,terra_ac_wallbox_ul40_firmware,Protection Relay,0.55503504
abb,txpert_hub_coretec_4_firmware,Protection Relay,0.5514320649600001
abb,update_manager,Protection Relay,0.45956736000000004
abb,zenon,Protection Relay,0.66651484032
abinitio,authorization_gateway,Other ICS Device,0.37104480000000006
acuitybrands,nlight_eclypse_system_controller_firmware,Other ICS Device,0.46952468640000006
adtran,sdg_smartos,Other ICS Device,0.34670160000000005
advantech,webaccess,Other ICS Device,0.32999400000000007
advantech,webaccess\/hmi_designer,Other ICS Device,0.5003350128
advantech,webaccess\/scada,Other ICS Device,0.5620312656000002
advantech,webaccess_scada,Other ICS Device,0.282443112
advantech,wise 4060lan_firmware,Other ICS Device,0.37195593120000003
afterpay,afterpay_gateway_for_woocommerce,Other ICS Device,0.33445440000000004
agendaless,waitress,SCADA Server,0.61672699872
airangel,hsmx app 25_firmware,SCADA Server,0.8198499859200001
altn,securitygateway,Other ICS Device,0.46408420800000005
ami,aptio_v,Other ICS Device,0.43877846880000004
ami,megarac_sp x,Other ICS Device,0.5190581088000003
ami,megarac_spx,Other ICS Device,0.39676845599999994
ami,megarac_spx 12,Other ICS Device,0.31296373920000004
amr ical events list_project,amr ical events list,Other ICS Device,0.2912112
amr_shortcode_any_widget_project,amr_shortcode_any_widget,SCADA Server,0.42526512000000005
anmari,amr_users,Other ICS Device,0.4242672000000001
antonbond,woocommerce_tranzila_payment_gateway,Other ICS Device,0.5519595312000002
apache,dolphinscheduler,Other ICS Device,0.2605532832
apache,linkis,Other ICS Device,0.4402094256
apache,ozone,Other ICS Device,0.40098240000000007
apiida,api_gateway_manager,Other ICS Device,0.33809952960000006
apollographql,apollo router,Other ICS Device,0.3628597392000001
apollographql,apollo_gateway,Other ICS Device,0.39139420320000007
apple,macos,Other ICS Device,0.2675381184000001
ardereg,sistemas_scada,Other ICS Device,0.44644340160000007
areal topkapi,webserv1,Other ICS Device,0.35330873760000003
arraynetworks,arrayos_ag,Other ICS Device,0.6048
arubanetworks,arubaos,Other ICS Device,0.45753120000000014
assaabloy,control_id_rhid,Other ICS Device,0.45753120000000014
asterisk,asterisk,Other ICS Device,0.5763867984000002
asus,device_activation,Other ICS Device,0.37285920000000006
asus,rt ax56u_firmware,Other ICS Device,0.37915516800000004
asus,screenpad2_upgrade_tool,Other ICS Device,0.42128946720000005
atoptechnology,se5901_firmware,Other ICS Device,0.4852969632000001
atx,minicmts200a_firmware,Other ICS Device,0.5269286736000001
automationdirect,c more_hmi_ea9_firmware,Other ICS Device,0.45753120000000014
automationdirect,c0 10dd1e d_firmware,Other ICS Device,0.5143778640000002
automationdirect,d0 06dd1_firmware,Other ICS Device,0.43424640000000003
automattic,woocommerce_stripe,Other ICS Device,0.43305464160000007
aveva,aveva_plant_scada,Data Historian,0.5353958131200002
aveva,batch_management,Data Historian,0.4225737600000001
aveva,intouch_access_anywhere,Data Historian,0.5223052800000001
aviatrix,gateway,Other ICS Device,0.5030185104000001
avira,anti malware_sdk,Other ICS Device,0.39033792
awplife,grid_gallery,Other ICS Device,0.34515059040000007
barracuda,email_security_gateway_300_firmware,Other ICS Device,0.6048
barracuda,t100b_firmware,Other ICS Device,0.5045915952000001
baxter,spectrum_wireless_battery_module_firmware,Other ICS Device,0.3207366288000001
beckhoff,authelia bhf,Other ICS Device,0.33075635040000007
beckhoff,bk9000_firmware,Other ICS Device,0.46097341920000007
beckhoff,cx9020,Other ICS Device,0.45753120000000014
beckhoff,ipc_diagnostics_package,Other ICS Device,0.3523026528
beckhoff,ipc_diagnostics_ua_server,Other ICS Device,0.30784320000000004
beckhoff,mdp_package,Other ICS Device,0.4043632320000001
beckhoff,tf6100_firmware,Other ICS Device,0.43821933120000006
beckhoff,twincat_driver,Other ICS Device,0.37392122880000006
beckhoff,twincat_extended_automation_runtime,Other ICS Device,0.3562272
belden,hirschmann_bat c2_firmware,Other ICS Device,0.5329098432000001
belden,hirschmann_hios,Other ICS Device,0.47135390400000016
belden,tofino_xenon_security_appliance_firmware,Other ICS Device,0.4429527984000002
bestpractical,request_tracker,Other ICS Device,0.4402097280000001
bitdefender,endpoint_security_tools,Other ICS Device,0.42339175200000007
bkw,solar log_500_firmware,Other ICS Device,0.4936589280000001
bladex,springblade,Other ICS Device,0.30301689600000004
bosch,video_streaming_gateway,Other ICS Device,0.5447475936
boschrexroth,ctrlx_hmi_web_panel_wr2107_firmware,Other ICS Device,0.41634099360000004
broadcom,advanced_secure_gateway,Other ICS Device,0.5549188176000002
broadcom,raid_controller_web_interface,Other ICS Device,0.4605074208000001
broadcom,symantec_messaging_gateway,Other ICS Device,0.5964207984000002
broadcom,symantec_proxysg,Other ICS Device,0.5418179424000001
broadcom,vmware_nsx,Other ICS Device,0.3366292608000001
busbaer,eisbaer_scada,Other ICS Device,0.4998672000000001
byzoro,smart_s45f_firmware,Other ICS Device,0.597568104
carel,pcoweb_card_firmware,Other ICS Device,0.5274684576000002
cassianetworks,xc1000_firmware,Other ICS Device,0.45753120000000014
cellopoint,secure_email_gateway,Other ICS Device,0.5783920128000002
ceph,ceph ansible,Other ICS Device,0.25200080640000005
chinamobile,intelligent_home_gateway_firmware,Other ICS Device,0.5996341008000001
