cve_id,vendor,product,cvss_score,epss,is_kev,criticality_0_5,exposure_0_5,pred_risk,p_exploit,priority,priority_decomp,impact_I,published,severity,cvss_vector,_source,top_reasons
CVE-2020-0609,microsoft,windows_server_2012,9.8,,0,,,0.5309863510204951,0.011650393817290591,,,,2020-01-14 23:15:30.690000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0610,microsoft,windows_server_2012,9.8,,0,,,0.5309863510204951,0.011650393817290591,,,,2020-01-14 23:15:30.770000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0612,microsoft,windows_server_2016,7.5,,0,,,0.45048170866834736,0.011583103064241505,,,,2020-01-14 23:15:30.893000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-0854,microsoft,windows_10,7.1,,0,,,0.36482829868053357,0.011567670705272924,,,,2020-03-12 16:15:18.877000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-0989,microsoft,windows_10,5.5,,0,,,0.3145459873271694,0.011544941231055974,,,,2020-09-11 17:15:15.090000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10037,siemens,sicam_mmu_firmware,7.5,,0,,,0.4991762330402693,0.011554177179679485,,,,2020-07-14 14:15:16.463000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10038,siemens,sicam_mmu_firmware,9.8,,0,,,0.5758262763054313,0.011568378533728257,,,,2020-07-14 14:15:16.540000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10039,siemens,sicam_mmu_firmware,8.1,,0,,,0.4517922299142763,0.011573202002893154,,,,2020-07-14 14:15:16.620000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,PR:N,UI:N"
CVE-2020-10040,siemens,sicam_mmu_firmware,5.5,,0,,,0.34704967878246895,0.011554665361090937,,,,2020-07-14 14:15:16.697000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10041,siemens,sicam_mmu_firmware,6.1,,0,,,0.43397402941484176,0.01157451523413014,,,,2020-07-14 14:15:16.777000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
