cve_id,vendor,product,cvss_score,epss,is_kev,criticality_0_5,exposure_0_5,pred_risk,p_exploit,priority,priority_decomp,impact_I,published,severity,cvss_vector,_source,top_reasons
CVE-2020-0609,microsoft,windows_server_2012,9.8,,0,,,0.5219172289834665,0.21531559815429602,,,,2020-01-14 23:15:30.690000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0610,microsoft,windows_server_2012,9.8,,0,,,0.5219172289834665,0.21531559815429602,,,,2020-01-14 23:15:30.770000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0612,microsoft,windows_server_2016,7.5,,0,,,0.43852685563321886,0.07588559400705966,,,,2020-01-14 23:15:30.893000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-0854,microsoft,windows_10,7.1,,0,,,0.36778019256772726,0.02981882950547132,,,,2020-03-12 16:15:18.877000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-0989,microsoft,windows_10,5.5,,0,,,0.32323258935222277,0.02404415208449884,,,,2020-09-11 17:15:15.090000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10037,siemens,sicam_mmu_firmware,7.5,,0,,,0.4982858749598894,0.03653567771752144,,,,2020-07-14 14:15:16.463000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10038,siemens,sicam_mmu_firmware,9.8,,0,,,0.590426844262543,0.059659415303848745,,,,2020-07-14 14:15:16.540000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10039,siemens,sicam_mmu_firmware,8.1,,0,,,0.4599553936067723,0.03797981406360047,,,,2020-07-14 14:15:16.620000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,PR:N,UI:N"
CVE-2020-10040,siemens,sicam_mmu_firmware,5.5,,0,,,0.34104707076667096,0.02463054367565941,,,,2020-07-14 14:15:16.697000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10041,siemens,sicam_mmu_firmware,6.1,,0,,,0.4434833205972206,0.03834446101566643,,,,2020-07-14 14:15:16.777000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10042,siemens,sicam_mmu_firmware,9.8,,0,,,0.5905068717971224,0.12803106051206492,,,,2020-07-14 14:15:16.853000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10043,siemens,sicam_mmu_firmware,6.1,,0,,,0.44643776032470145,0.04284521309164718,,,,2020-07-14 14:15:16.917000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10044,siemens,sicam_mmu_firmware,7.5,,0,,,0.5002685167220051,0.0374092496396114,,,,2020-07-14 14:15:17.027000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10045,siemens,sicam_mmu_firmware,8.8,,0,,,0.5581751789942374,0.035318499800691024,,,,2020-07-14 14:15:17.120000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10048,siemens,simatic_pcs_7,5.5,,0,,,0.3467938976876155,0.026863703417348228,,,,2021-02-09 17:15:13.360000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10049,siemens,simatic_rtls_locating_manager,7.3,,0,,,0.426665959103853,0.025313392973457763,,,,2020-09-09 19:15:18.070000+00:00,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,CPPS,AC:L
CVE-2020-10050,siemens,simatic_rtls_locating_manager,7.8,,0,,,0.4409589363773947,0.025015820514941677,,,,2020-09-09 19:15:18.413000+00:00,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CPPS,"AC:L,UI:N"
