cve_id,vendor,product,cvss_score,epss,is_kev,criticality_0_5,exposure_0_5,pred_risk,p_exploit,priority,priority_decomp,impact_I,published,severity,cvss_vector,_source,top_reasons
CVE-2020-0609,microsoft,windows_server_2012,9.8,,0,,,0.5386694199668478,0.10447424303437303,,,,2020-01-14 23:15:30.690000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0610,microsoft,windows_server_2012,9.8,,0,,,0.5386694199668478,0.10447424303437303,,,,2020-01-14 23:15:30.770000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0612,microsoft,windows_server_2016,7.5,,0,,,0.4468452926481572,0.09937929153637409,,,,2020-01-14 23:15:30.893000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-0854,microsoft,windows_10,7.1,,0,,,0.38992105211519507,0.09733017522170404,,,,2020-03-12 16:15:18.877000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-0989,microsoft,windows_10,5.5,,0,,,0.3250439315628695,0.09867983134643521,,,,2020-09-11 17:15:15.090000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10037,siemens,sicam_mmu_firmware,7.5,,0,,,0.4965608574899491,0.10172468702186568,,,,2020-07-14 14:15:16.463000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10038,siemens,sicam_mmu_firmware,9.8,,0,,,0.5850151640636881,0.10632347576368945,,,,2020-07-14 14:15:16.540000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10039,siemens,sicam_mmu_firmware,8.1,,0,,,0.4828512281453125,0.10216672524756792,,,,2020-07-14 14:15:16.620000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,PR:N,UI:N"
CVE-2020-10040,siemens,sicam_mmu_firmware,5.5,,0,,,0.3470088310443673,0.09618719676670776,,,,2020-07-14 14:15:16.697000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10041,siemens,sicam_mmu_firmware,6.1,,0,,,0.44578924784349044,0.09877884592068717,,,,2020-07-14 14:15:16.777000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10042,siemens,sicam_mmu_firmware,9.8,,0,,,0.5935857557302461,0.10654614516948419,,,,2020-07-14 14:15:16.853000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10043,siemens,sicam_mmu_firmware,6.1,,0,,,0.4414861000536126,0.09856123250475796,,,,2020-07-14 14:15:16.917000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10044,siemens,sicam_mmu_firmware,7.5,,0,,,0.5001560337137436,0.10142185005003565,,,,2020-07-14 14:15:17.027000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10045,siemens,sicam_mmu_firmware,8.8,,0,,,0.540877099639944,0.10317119441684895,,,,2020-07-14 14:15:17.120000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N"
