cve_id,vendor,product,cvss_score,epss,is_kev,criticality_0_5,exposure_0_5,pred_risk,p_exploit,priority,priority_decomp,impact_I,published,severity,cvss_vector,_source,top_reasons
CVE-2020-0609,microsoft,windows_server_2012,9.8,,0,,,0.5239702380194944,0.21531559815429602,,,,2020-01-14 23:15:30.690000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0610,microsoft,windows_server_2012,9.8,,0,,,0.5239702380194944,0.21531559815429602,,,,2020-01-14 23:15:30.770000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-0612,microsoft,windows_server_2016,7.5,,0,,,0.44107524841641016,0.07588559400705966,,,,2020-01-14 23:15:30.893000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-0854,microsoft,windows_10,7.1,,0,,,0.35978028271065765,0.02981882950547132,,,,2020-03-12 16:15:18.877000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-0989,microsoft,windows_10,5.5,,0,,,0.3154669255933811,0.024044152084498827,,,,2020-09-11 17:15:15.090000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10037,siemens,sicam_mmu_firmware,7.5,,0,,,0.49472016583293665,0.03653567771752144,,,,2020-07-14 14:15:16.463000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10038,siemens,sicam_mmu_firmware,9.8,,0,,,0.5795139859727179,0.059659415303848745,,,,2020-07-14 14:15:16.540000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10039,siemens,sicam_mmu_firmware,8.1,,0,,,0.45682683725330564,0.03797981406360047,,,,2020-07-14 14:15:16.620000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,PR:N,UI:N"
CVE-2020-10040,siemens,sicam_mmu_firmware,5.5,,0,,,0.34280340251370195,0.02463054367565941,,,,2020-07-14 14:15:16.697000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10041,siemens,sicam_mmu_firmware,6.1,,0,,,0.43157704320456364,0.038344461015666444,,,,2020-07-14 14:15:16.777000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10042,siemens,sicam_mmu_firmware,9.8,,0,,,0.5794314856583003,0.12803106051206492,,,,2020-07-14 14:15:16.853000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10043,siemens,sicam_mmu_firmware,6.1,,0,,,0.43720733648065235,0.04284521309164718,,,,2020-07-14 14:15:16.917000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10044,siemens,sicam_mmu_firmware,7.5,,0,,,0.4956653361273549,0.03740924963961141,,,,2020-07-14 14:15:17.027000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10045,siemens,sicam_mmu_firmware,8.8,,0,,,0.5595913651708083,0.035318499800691024,,,,2020-07-14 14:15:17.120000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10048,siemens,simatic_pcs_7,5.5,,0,,,0.3541760305507283,0.026863703417348228,,,,2021-02-09 17:15:13.360000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10049,siemens,simatic_rtls_locating_manager,7.3,,0,,,0.4250495536042964,0.025313392973457763,,,,2020-09-09 19:15:18.070000+00:00,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,CPPS,AC:L
CVE-2020-10050,siemens,simatic_rtls_locating_manager,7.8,,0,,,0.44234321079981215,0.025015820514941677,,,,2020-09-09 19:15:18.413000+00:00,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-10051,siemens,simatic_rtls_locating_manager,7.8,,0,,,0.441620702112738,0.02312383550791613,,,,2020-09-09 19:15:18.587000+00:00,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-10052,siemens,simatic_rtls_locating_manager,5.5,,0,,,0.34514324698855986,0.026559706626968306,,,,2021-11-09 12:15:08.093000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10053,siemens,simatic_rtls_locating_manager,5.5,,0,,,0.34408206559123883,0.025179189600663454,,,,2021-11-09 12:15:08.150000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CPPS,"AC:L,UI:N"
CVE-2020-10054,siemens,simatic_rtls_locating_manager,5.5,,0,,,0.34096166290281427,0.029396618699754098,,,,2021-11-09 12:15:08.200000+00:00,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CPPS,"AC:L,UI:N"
CVE-2020-10055,siemens,desigo_consumption_control,9.8,,0,,,0.5881739050475665,0.15301390156591752,,,,2020-08-14 16:15:16.790000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10056,siemens,license_management_utility,7.8,,0,,,0.44211784381337843,0.027079983900489043,,,,2020-09-09 19:15:18.773000+00:00,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-10110,citrix,gateway_firmware,5.3,,0,,,0.3685744278768555,0.035972663151673315,,,,2020-03-06 21:15:15.060000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10111,citrix,gateway_firmware,7.5,,0,,,0.4403145654293508,0.05776892465655126,,,,2020-03-06 21:15:15.187000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10112,citrix,gateway_firmware,5.4,,0,,,0.36383809298723785,0.048426796951868176,,,,2020-03-06 21:15:15.280000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10276,mobile industrial robots,mir100_firmware,9.8,,0,,,0.526095676000655,0.051907125443163664,,,,2020-06-24 05:15:13.270000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10287,abb,irb140_firmware,9.8,,0,,,0.7127799504595158,0.05202335162210545,,,,2020-07-15 23:15:11.283000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10288,abb,robotware,9.8,,0,,,0.7071513053402637,0.07373819438246855,,,,2020-07-15 23:15:11.393000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10291,kuka,visual_components_network_license_server,7.5,,0,,,0.4432401826273851,0.03204136643993936,,,,2020-11-06 12:15:11.633000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10372,ramp,altimeter,5.4,,0,,,0.3614558516857703,0.04191989371354414,,,,2020-03-10 21:15:13.527000+00:00,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L"
CVE-2020-10611,trianglemicroworks,scada_data_gateway,9.8,,0,,,0.5241358100585807,0.06491577593780298,,,,2020-04-15 19:15:13.613000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10613,trianglemicroworks,scada_data_gateway,7.5,,0,,,0.44349404766681244,0.036005938684997005,,,,2020-04-15 19:15:13.690000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10615,trianglemicroworks,scada_data_gateway,7.5,,0,,,0.44303433069724113,0.08217476660809313,,,,2020-04-15 19:15:13.753000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10618,lcds,laquis_scada,5.5,,0,,,0.3164364209557878,0.0261844857483565,,,,2020-05-04 19:15:12.707000+00:00,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,CPPS,"AC:L,PR:N"
CVE-2020-10622,lcds,laquis_scada,7.8,,0,,,0.39379517572984224,0.03502352941653146,,,,2020-05-04 19:15:12.767000+00:00,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CPPS,"AC:L,PR:N"
CVE-2020-10624,honeywell,controledge_plc_firmware,7.5,,0,,,0.44043188108932285,0.05746284982294755,,,,2020-06-26 17:15:09.983000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10628,honeywell,controledge_plc_firmware,7.5,,0,,,0.44043188108932285,0.05929113153235231,,,,2020-06-26 17:15:10.077000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10630,sae it,net line_fw 50_firmware,6.1,,0,,,0.39042922976794237,0.06958857053987405,,,,2020-05-05 21:15:11.393000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10632,emerson,openenterprise_scada_server,5.3,,0,,,0.3640752669962443,0.044843243732647996,,,,2022-02-24 19:15:08.543000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10633,hms networks,ewon_flexy_firmware,6.1,,0,,,0.3996667972163744,0.03655688741341338,,,,2020-04-08 01:15:11.953000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10634,sae it,net line_fw 50_firmware,9.1,,0,,,0.5006561671924158,0.046119050586609,,,,2020-05-05 21:15:11.440000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10636,emerson,openenterprise_scada_server,7.5,,0,,,0.44002682769236423,0.046319456925657754,,,,2022-02-24 19:15:08.653000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10640,emerson,openenterprise_scada_server,9.8,,0,,,0.5213139771193082,0.06929885766371371,,,,2022-02-24 19:15:08.707000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10641,inductiveautomation,ignition_gateway,7.5,,0,,,0.4396881418885132,0.03823691801356357,,,,2020-04-28 19:15:12.207000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10642,rockwellautomation,rslinx_classic,7.8,,0,,,0.3910923301420161,0.03485928291444434,,,,2020-04-13 19:15:11+00:00,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-10644,inductiveautomation,ignition_gateway,7.5,,0,,,0.4392738724651445,0.03670783901311464,,,,2020-06-09 18:15:10.590000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10649,asus,device_activation,7.8,,0,,,0.39862450746083156,0.04570900402976605,,,,2020-03-25 17:15:14.733000+00:00,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CPPS,"AC:L,UI:N"
CVE-2020-10666,sangoma,restapps,9.8,,0,,,0.523325492847093,0.3826885349372139,,,,2021-05-31 12:15:08.717000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10739,istio,istio,7.5,,0,,,0.45014155612155166,0.04137081100783869,,,,2020-06-02 13:15:10.983000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N"
CVE-2020-10753,redhat,ceph_storage,6.5,,0,,,0.40698950454024424,0.0524480890335181,,,,2020-06-26 15:15:11.573000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,CPPS,"AV:N,AC:L,PR:N"
CVE-2020-10794,gira,tks ip gateway_firmware,9.8,,0,,,0.5281234385652182,0.04473349090894955,,,,2020-05-07 21:15:11.200000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,PR:N,UI:N,CVSS≥9"
CVE-2020-10795,gira,tks ip gateway_firmware,7.2,,0,,,0.41584755562894193,0.2089230144895953,,,,2020-05-07 21:15:11.247000+00:00,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CPPS,"AV:N,AC:L,UI:N"
CVE-2020-10918,automationdirect,c more_hmi_ea9_firmware,7.5,,0,,,0.43992893164708047,0.04196115094348698,,,,2020-07-23 16:15:12.083000+00:00,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CPPS,"AV:N,AC:L,PR:N,UI:N"
