vendor,product,max_priority,mean_priority,n_cves
*,5400rmp_oem_harddrive,,,1
4d,server,,,2
abb,2tma310010b0001_firmware,,,2
abb,800xa,,,3
abb,800xa_base_system,,,3
abb,800xa_batch_management,,,1
abb,800xa_information_management,,,1
abb,800xa_information_manager,,,1
abb,800xa_rnrp,,,1
abb,800xa_system,,,5
abb,ac500_cpu_firmware,,,2
abb,ac700f_firmware,,,2
abb,ao opc,,,1
abb,arg600a1220na_firmware,,,1
abb,aspect ent 12_firmware,,,11
abb,aspect ent 2_firmware,,,17
abb,automation_builder,,,6
abb,base_software,,,1
abb,control_builder_m,,,1
abb,cs141_firmware,,,1
abb,device_library_wizard,,,1
abb,e design,,,2
abb,flow x\/m_firmware,,,1
abb,h5692448_g104_firmware,,,1
abb,infinity_dc_power_plant,,,1
abb,irb140_firmware,,,1
abb,mint_workbench,,,2
abb,mms_server,,,1
abb,my_control_system,,,1
abb,mybuildings,,,1
abb,omnicore_c30_firmware,,,1
abb,opc_server_for_ac_800m,,,1
abb,platform_engineering_tools,,,1
abb,pm554_firmware,,,1
abb,pni800_firmware,,,3
abb,rccmd,,,1
abb,rex640_pcl1_firmware,,,2
abb,rmc 100_firmware,,,1
abb,robotware,,,1
abb,rtu500_firmware,,,1
abb,smu615_firmware,,,1
abb,symphony_\+_historian,,,9
abb,symphony_plus_s\+_operations,,,1
abb,system_access_point_2.0_firmware,,,1
abb,terra_ac_wallbox_ul40_firmware,,,2
abb,txpert_hub_coretec_4_firmware,,,1
abb,update_manager,,,1
abb,zenon,,,7
abinitio,authorization_gateway,,,1
acuitybrands,nlight_eclypse_system_controller_firmware,,,1
adtran,sdg_smartos,,,1
advantech,webaccess,,,1
advantech,webaccess\/hmi_designer,,,9
advantech,webaccess\/scada,,,18
advantech,webaccess_scada,,,1
advantech,wise 4060lan_firmware,,,1
afterpay,afterpay_gateway_for_woocommerce,,,1
agendaless,waitress,,,4
airangel,hsmx app 25_firmware,,,5
altn,securitygateway,,,1
ami,aptio_v,,,8
ami,megarac_sp x,,,30
ami,megarac_spx,,,1
ami,megarac_spx 12,,,1
amr ical events list_project,amr ical events list,,,1
amr_shortcode_any_widget_project,amr_shortcode_any_widget,,,1
anmari,amr_users,,,2
antonbond,woocommerce_tranzila_payment_gateway,,,1
apache,dolphinscheduler,,,1
apache,linkis,,,1
apache,ozone,,,1
