feature,importance
num__cvss_score,0.48660930125875423
num__epss,0.2498177756891635
cat__vendor_schneider electric,0.04201589685175696
cat__vendor_abb,0.029973561838808314
num__is_remote,0.026205875451594425
cat__vendor_siemens,0.02208360183777478
cat__vendor_ge,0.013144571429723433
num__base_flags,0.01169460810517658
txt__could,0.008908953380970665
txt__cwe,0.004053113813497301
txt__vulnerability,0.0019754776836325362
txt__parameter,0.001718087559354474
txt__could allow,0.0014564603516370683
txt__that,0.0014560477412408903
txt__the,0.0013692649784845146
num__text_len,0.0013531507214388837
cat__severity_MEDIUM,0.0013312117749812982
txt__gateway,0.001314019287591032
txt__details,0.001243734732298284
txt__ge,0.0011986216596818259
num__age_days,0.0011945394924001427
txt__abb,0.0011681978995052066
txt__and,0.0011325140267243192
txt__to,0.0010828813951689953
txt__all versions,0.001052043808119983
txt__vulnerability exists,0.0010401090573311182
txt__allow,0.0010387388597514397
txt__ecostruxure,0.0009577289690487172
txt__in,0.0009291676195579014
txt__sel,0.0008877810425500024
